iter	RMSE
0	12878531.34
1	12390110.24
2	11870970.82
3	11380527.08
4	10934444.12
5	10517290.5
6	10063646.04
7	9686277.583
8	9292797.15
9	8934575.446
10	8573329.805
11	8235691.197
12	7903926.374
13	7620445.692
14	7323353.834
15	7047501.751
16	6801483.053
17	6583100.382
18	6343936.083
19	6139315.591
20	5914667.56
21	5726029.746
22	5547523.91
23	5368644.618
24	5206743.553
25	5059028.311
26	4909049.956
27	4764730.793
28	4640729.412
29	4525159.313
30	4401637.681
31	4285020.065
32	4177441.305
33	4072105.826
34	3974184.784
35	3878132.231
36	3793187.471
37	3707145.115
38	3623882.557
39	3549153.868
40	3476548.073
41	3409030.092
42	3340804.428
43	3278298.224
44	3213843.105
45	3159638.46
46	3102875.659
47	3046983.471
48	2998024.023
49	2951586.614
50	2901948.376
51	2855332.828
52	2821151.591
53	2776856.274
54	2728131.276
55	2688933.921
56	2653631.3
57	2616563.369
58	2584576.804
59	2559190.248
60	2527094.764
61	2497950.724
62	2468207.956
63	2441324.714
64	2405711.007
65	2383869.765
66	2360840.641
67	2328634.034
68	2298468.338
69	2276066.703
70	2256004.626
71	2230626.686
72	2204221.322
73	2177172.119
74	2157981.423
75	2142255.367
76	2125423.882
77	2104321.177
78	2085710.449
79	2069433.667
80	2049920.725
81	2039570.698
82	2026799.718
83	2004998.08
84	1986928.632
85	1971477.009
86	1955055.828
87	1938360.042
88	1922252.716
89	1906062.078
90	1892838.439
91	1882751.414
92	1867173.081
93	1849492.154
94	1838046.287
95	1829338.23
96	1815470.881
97	1804423.607
98	1795253.143
99	1788483.861
100	1774075.809
101	1763943.747
102	1745807.117
103	1732158.649
104	1723970.918
105	1715735.196
106	1702315.911
107	1692918.193
108	1673611.299
109	1666193.045
110	1652144.888
111	1642458.176
112	1634414.407
113	1621809.015
114	1615740.701
115	1605263.014
116	1591862.495
117	1585482.188
118	1580674.042
119	1574810.237
120	1569265.49
121	1557753.418
122	1552665.207
123	1541856.935
124	1535745.098
125	1527077.569
126	1522606.139
127	1513231.283
128	1507091.81
129	1497277.215
130	1484857.282
131	1476385.398
132	1464423.862
133	1460555.634
134	1450616.265
135	1446827.382
136	1443859.56
137	1433995.921
138	1424501.24
139	1421245.712
140	1417519.509
141	1411025.658
142	1407871.773
143	1404594.338
144	1402212.706
145	1399114.95
146	1396118.495
147	1389890.313
148	1380809.503
149	1370335.766
150	1364929.384
151	1357413.565
152	1355156.716
153	1352262.974
154	1350185.811
155	1348192.986
156	1345650.203
157	1337176.213
158	1335194.591
159	1329794.251
160	1326737.591
161	1321730.565
162	1313468.105
163	1310665.021
164	1307839.829
165	1306760.825
166	1305165.526
167	1297966.639
168	1296512.479
169	1293676.257
170	1289507.873
171	1284767.288
172	1280162.882
173	1278857.717
174	1277136.976
175	1272684.38
176	1264665.69
177	1260380.984
178	1258529.133
179	1257255.364
180	1249492.355
181	1241863.571
182	1237747.287
183	1232907.816
184	1231793.188
185	1228639.292
186	1224027.751
187	1216522.032
188	1209906.424
189	1207893.279
190	1206947.959
191	1205128.713
192	1202912.475
193	1199125.148
194	1198268.214
195	1195265.018
196	1194408.582
197	1192465.428
198	1189587.646
199	1188769.379
200	1186511.242
201	1181026.958
202	1179809.531
203	1172798.703
204	1168564.844
205	1165902.319
206	1164668.151
207	1162782.502
208	1155944.252
209	1151879.26
210	1147925.512
211	1146681.852
212	1139941.869
213	1138626.406
214	1133593.011
215	1130384.765
216	1126595.863
217	1123467.824
218	1122169.463
219	1121556.385
220	1115006.754
221	1113536.94
222	1112299.325
223	1109337.466
224	1107273.307
225	1100859.124
226	1094647.737
227	1091745.743
228	1090807.751
229	1089659.36
230	1088556.384
231	1086602.603
232	1080536.089
