iter	Passed	Remaining
0	48	48781
1	51	25624
2	54	18023
3	56	13960
4	57	11529
5	59	9897
6	61	8730
7	63	7861
8	65	7183
9	67	6635
10	70	6299
11	74	6131
12	78	5965
13	80	5683
14	82	5417
15	84	5184
16	86	4981
17	88	4802
18	89	4639
19	91	4495
20	93	4362
21	95	4238
22	97	4126
23	98	4023
24	100	3932
25	102	3845
26	104	3767
27	106	3692
28	108	3621
29	109	3555
30	111	3493
31	113	3435
32	115	3381
33	117	3331
34	119	3285
35	121	3240
36	122	3196
37	124	3155
38	126	3116
39	128	3078
40	130	3042
41	131	3008
42	133	2976
43	136	2957
44	137	2928
45	140	2904
46	141	2876
47	143	2849
48	145	2824
49	147	2800
50	149	2776
51	151	2753
52	152	2732
53	154	2711
54	156	2690
55	158	2670
56	160	2650
57	162	2631
58	163	2613
59	165	2596
60	167	2579
61	169	2563
62	171	2546
63	172	2529
64	174	2517
65	176	2502
66	178	2488
67	180	2474
68	182	2461
69	184	2447
70	186	2436
71	188	2429
72	190	2417
73	192	2405
74	194	2394
75	195	2381
76	197	2370
77	200	2365
78	202	2357
79	204	2353
80	206	2343
81	208	2333
82	210	2322
83	211	2311
84	213	2300
85	215	2291
86	217	2281
87	219	2271
88	222	2273
89	224	2265
90	225	2256
91	227	2246
92	229	2237
93	231	2229
94	233	2220
95	234	2212
96	236	2203
97	238	2195
98	240	2187
99	242	2179
100	243	2171
101	245	2163
102	247	2156
103	249	2148
104	251	2142
105	253	2135
106	255	2128
107	256	2121
108	258	2114
109	260	2108
110	262	2101
111	264	2094
112	266	2088
113	267	2081
114	269	2075
115	271	2069
116	273	2063
117	275	2057
118	277	2051
119	278	2044
120	280	2039
121	282	2032
122	284	2027
123	286	2021
124	287	2015
125	289	2010
126	291	2004
127	293	1999
128	295	1994
129	298	1997
130	300	1993
131	302	1988
132	304	1983
133	306	1977
134	307	1973
135	309	1968
136	311	1962
137	313	1957
138	315	1952
139	317	1947
140	318	1942
141	320	1937
142	322	1932
143	324	1927
144	326	1922
145	327	1917
146	329	1912
147	331	1908
148	333	1903
149	335	1898
150	336	1893
151	338	1889
152	340	1884
153	342	1880
154	344	1875
155	345	1867
156	346	1863
157	348	1858
158	350	1854
159	352	1852
160	355	1851
161	357	1849
162	359	1845
163	361	1842
164	363	1837
165	364	1833
166	366	1829
167	368	1825
168	370	1823
169	373	1822
170	375	1820
171	377	1817
172	379	1813
173	381	1810
174	383	1806
175	385	1803
176	386	1799
177	388	1795
178	390	1791
179	392	1787
180	394	1783
181	396	1780
182	398	1777
183	399	1773
184	401	1770
185	403	1766
186	405	1762
187	407	1758
188	409	1755
189	410	1751
190	412	1747
191	414	1744
192	416	1740
193	418	1737
194	419	1733
195	421	1730
196	423	1726
197	425	1723
198	427	1719
199	428	1715
200	430	1712
201	432	1708
202	434	1704
203	436	1701
204	437	1698
205	439	1694
206	441	1691
207	443	1688
208	445	1684
209	447	1681
210	448	1678
211	450	1675
212	452	1671
213	454	1668
214	456	1665
215	457	1661
216	459	1658
217	461	1655
218	463	1652
219	465	1649
220	467	1646
221	468	1643
222	470	1640
223	472	1637
224	474	1634
225	476	1630
226	477	1627
227	479	1624
228	481	1621
229	483	1618
230	485	1615
231	486	1611
232	488	1608
233	490	1605
234	492	1603
235	494	1599
236	496	1596
237	497	1593
238	499	1590
239	501	1587
240	503	1584
241	504	1581
242	506	1578
243	508	1575
244	510	1573
245	512	1570
246	514	1567
247	515	1564
248	517	1561
249	519	1558
250	521	1556
251	523	1553
252	524	1550
253	526	1547
254	528	1544
255	530	1541
256	532	1539
257	534	1536
258	535	1533
259	537	1530
260	539	1528
261	541	1525
262	543	1522
263	545	1519
264	546	1516
265	548	1513
266	550	1511
267	552	1508
268	554	1505
269	555	1502
270	557	1499
271	559	1497
272	561	1494
273	563	1491
274	564	1489
275	566	1487
276	568	1484
277	570	1482
278	572	1479
279	574	1476
280	576	1474
281	577	1471
282	579	1468
283	581	1466
284	584	1465
285	585	1462
286	587	1460
287	589	1457
288	591	1455
289	593	1452
290	595	1449
291	596	1447
292	598	1445
293	600	1442
294	602	1440
295	604	1437
296	606	1434
297	607	1432
298	609	1429
299	611	1427
300	613	1424
301	615	1421
302	617	1419
303	618	1417
304	621	1416
305	623	1414
306	625	1412
307	627	1410
308	629	1407
309	631	1405
310	633	1403
311	635	1400
312	636	1398
313	638	1395
314	640	1393
315	642	1390
316	644	1388
317	646	1385
318	647	1383
319	649	1380
320	651	1378
321	653	1375
322	655	1373
323	657	1370
324	658	1368
325	660	1366
326	662	1363
327	664	1361
328	666	1358
329	668	1356
330	669	1353
331	671	1351
332	673	1348
333	675	1346
334	677	1344
335	678	1341
336	680	1339
337	682	1336
338	684	1334
339	686	1332
340	688	1329
341	689	1327
342	691	1325
343	693	1322
344	695	1320
345	697	1317
346	699	1315
347	700	1313
348	702	1310
349	704	1308
350	706	1306
351	708	1303
352	710	1301
353	711	1299
354	713	1296
355	715	1294
356	717	1291
357	719	1289
358	720	1287
359	722	1285
360	724	1282
361	726	1280
362	728	1277
363	730	1275
364	731	1273
365	733	1270
366	735	1268
367	737	1266
368	738	1263
369	740	1261
370	742	1258
371	744	1256
372	746	1254
373	747	1251
374	749	1249
375	751	1247
376	753	1245
377	755	1242
378	757	1240
379	758	1238
380	760	1235
381	762	1233
382	764	1231
383	766	1229
384	768	1226
385	769	1224
386	771	1222
387	773	1220
388	775	1217
389	777	1215
390	779	1213
391	781	1211
392	782	1209
393	784	1206
394	786	1204
395	788	1202
396	790	1200
397	792	1198
398	793	1195
399	795	1193
400	797	1191
401	799	1189
402	801	1186
403	803	1184
404	804	1182
405	806	1180
406	808	1178
407	810	1175
408	812	1173
409	813	1171
410	815	1169
411	817	1166
412	819	1164
413	821	1162
414	822	1160
415	824	1157
416	826	1155
417	828	1153
418	830	1151
419	832	1149
420	833	1146
421	835	1144
422	837	1142
423	839	1140
424	841	1137
425	842	1135
426	844	1133
427	846	1131
428	848	1129
429	850	1126
430	851	1124
431	853	1122
432	855	1120
433	857	1118
434	859	1115
435	860	1113
436	862	1111
437	864	1109
438	866	1107
439	868	1105
440	870	1103
441	872	1100
